=== LAB 6: OCCUPANCY GRID MAPPING LOG ===
Grid Size: 4x4 cells (Cell: 60.0cm)

--- FINAL PROBABILITY MATRIX ---
Y=3 | 0.013 0.500 0.500 0.500
Y=2 | 0.007 0.592 0.500 0.500
Y=1 | 0.007 0.834 0.500 0.500
Y=0 | 0.007 0.993 0.500 0.500

--- CLASSIFIED CELL STATUS ---
(0,3):FREE | (1,3):UNKNOWN | (2,3):UNKNOWN | (3,3):UNKNOWN
(0,2):FREE | (1,2):UNKNOWN | (2,2):UNKNOWN | (3,2):UNKNOWN
(0,1):FREE | (1,1):OCCUPIED | (2,1):UNKNOWN | (3,1):UNKNOWN
(0,0):FREE | (1,0):OCCUPIED | (2,0):UNKNOWN | (3,0):UNKNOWN

--- STEP HISTORY ---
Step 1: Pos=(0,0) Heading=0 deg | Front=203.2cm (CLEAR), Left_IO=1 (CLEAR), Right_IO=1 (CLEAR)
Step 2: Pos=(0,0) Heading=90 deg | Front=5.2cm (WALL), Left_IO=1 (CLEAR), Right_IO=1 (CLEAR)
Step 3: Pos=(0,0) Heading=180 deg | Front=138.3cm (CLEAR), Left_IO=1 (CLEAR), Right_IO=1 (CLEAR)
Step 4: Pos=(0,0) Heading=270 deg | Front=7.0cm (WALL), Left_IO=1 (CLEAR), Right_IO=1 (CLEAR)
Step 5: Pos=(0,0) Heading=0 deg | Front=202.7cm (CLEAR), Left_IO=1 (CLEAR), Right_IO=1 (CLEAR)
Step 6: Pos=(0,1) Heading=0 deg | Front=140.8cm (CLEAR), Left_IO=1 (CLEAR), Right_IO=1 (CLEAR)
Step 7: Pos=(0,1) Heading=0 deg | Front=141.4cm (CLEAR), Left_IO=1 (CLEAR), Right_IO=1 (CLEAR)
Step 8: Pos=(0,1) Heading=90 deg | Front=8.9cm (WALL), Left_IO=1 (CLEAR), Right_IO=1 (CLEAR)
Step 9: Pos=(0,1) Heading=90 deg | Front=8.8cm (WALL), Left_IO=1 (CLEAR), Right_IO=1 (CLEAR)
Step 10: Pos=(0,1) Heading=0 deg | Front=141.8cm (CLEAR), Left_IO=1 (CLEAR), Right_IO=1 (CLEAR)
Step 11: Pos=(0,2) Heading=0 deg | Front=80.7cm (CLEAR), Left_IO=1 (CLEAR), Right_IO=1 (CLEAR)
Step 12: Pos=(0,2) Heading=0 deg | Front=80.6cm (CLEAR), Left_IO=1 (CLEAR), Right_IO=1 (CLEAR)
Step 13: Pos=(0,2) Heading=90 deg | Front=13.5cm (WALL), Left_IO=1 (CLEAR), Right_IO=1 (CLEAR)
Step 14: Pos=(0,2) Heading=90 deg | Front=12.8cm (WALL), Left_IO=1 (CLEAR), Right_IO=1 (CLEAR)
Step 15: Pos=(0,2) Heading=0 deg | Front=80.2cm (CLEAR), Left_IO=1 (CLEAR), Right_IO=1 (CLEAR)
Step 16: Pos=(0,2) Heading=90 deg | Front=202.7cm (CLEAR), Left_IO=1 (CLEAR), Right_IO=1 (CLEAR)
Step 17: Pos=(0,2) Heading=90 deg | Front=202.9cm (CLEAR), Left_IO=1 (CLEAR), Right_IO=1 (CLEAR)
